q,tau,delta,AUC_R,AUC_N,Dose,rho_T,S_T,R_T,N_T,A_max,J_N,J_R,J_D,J
11.5,1.2000000000000002,0.1,694475.1315950495,192903896.32273966,6.8999999999999995,0.004359489536922219,138490857.3856067,606393.0077042893,139097250.393311,1.0214386679492835,0.019290389632273964,1.9842146617001418e-05,0.008214285714285714,0.02752451749317668
12.0,1.2000000000000002,0.1,700539.7632969985,166460096.98593813,7.199999999999999,0.005246903588218177,117284576.58920696,618626.7406136531,117903203.32982062,1.0658485965534592,0.01664600969859381,2.001542180848567e-05,0.008571428571428572,0.02523745369183087
0.0,1.3,0.1,406520.756341026,1412601383.2071235,0.0,0.0002473559298121047,816385237.6134119,201987.6923882028,816587225.3058001,0.0,0.14126013832071235,1.1614878752600743e-05,0.0,0.14127175319946494
0.5,1.3,0.1,407492.2036466391,1407463925.058096,0.3,0.00024919990104371715,814214718.0843526,202952.80299338122,814417670.887346,0.04407124517414546,0.1407463925058096,1.1642634389903974e-05,0.00035714285714285714,0.14111517799734236
1.0,1.3,0.1,410399.12647154613,1392166308.1299179,0.6,0.000254793948219275,807719112.4935373,205854.39217773834,807924966.885715,0.08814251307456775,0.13921663081299177,1.1725689327758462e-05,0.0007142857142857143,0.13994264221660524
1.5,1.3,0.1,415216.5003632974,1367032468.9884658,0.8999999999999999,0.0002643284044462964,796943144.3225262,210710.4065187432,797153854.7290449,0.13221363877673623,0.13670324689884658,1.1863328581808499e-05,0.0010714285714285715,0.13778653879885697
2.0,1.3,0.1,421901.16013032355,1332593923.4618514,1.2,0.00027812886666676856,781963719.0904232,217547.1891183068,782181266.2795415,0.1762852295500266,0.1332593923461851,1.2054318860866388e-05,0.0014285714285714286,0.1347000180936174
2.5,1.3,0.1,430389.07394919946,1289572068.9832187,1.5,0.00029666902904824753,762893901.8016059,226394.1572491248,763120295.958855,0.22035671420802383,0.12895720689832188,1.2296830684262843e-05,0.0017857142857142859,0.13075521801472043
3.0,1.3,0.1,440592.38116633636,1238856360.2713673,1.7999999999999998,0.0003205903455341637,739886129.3730946,237276.41840061752,740123405.7914952,0.2644277483556866,0.12388563602713672,1.2588353747609612e-05,0.002142857142857143,0.12604108152374147
3.5,1.3,0.1,452396.44252314395,1181476123.475675,2.1,0.00035072749249825627,713140526.410748,250205.74265965982,713390732.1534077,0.30849898784298124,0.1181476123475675,1.29256126435184e-05,0.0025,0.12066053796021102
4.0,1.3,0.1,465656.53979973064,1118573054.796777,2.4,0.0003881418538642024,682910117.8527824,265168.92232309753,683175286.7751055,0.3525699294381193,0.11185730547967769,1.3304472565706591e-05,0.002857142857142857,0.11472775280938625
4.5,1.3,0.1,480196.0348261559,1051368127.5771414,2.6999999999999997,0.00043416170992136835,649512010.7635472,282115.72905489005,649794126.4926021,0.39664169445552966,0.10513681275771414,1.3719886709318742e-05,0.003214285714285714,0.10836481835870916
5.0,1.3,0.1,495807.23128686793,981122074.3084744,3.0,0.0004904356631985372,613333352.9011999,300948.1453951577,613634301.0465951,0.4407130581258901,0.09811220743084743,1.4165920893910514e-05,0.0035714285714285718,0.10169780192316992
5.5,1.3,0.1,512253.2622332569,909099212.046629,3.3,0.0005589965424549804,574834288.6114861,321510.10285424895,575155798.7143403,0.48478441989212845,0.09090992120466289,1.4635807492378769e-05,0.003928571428571429,0.0948531284407267
6.0,1.3,0.1,529273.3415071573,836527709.4911393,3.5999999999999996,0.0006423397501494809,534547265.9677217,343581.653418207,534890847.6211399,0.5288554893122229,0.08365277094911393,1.5122095471633066e-05,0.004285714285714286,0.08795360733029985
6.5,1.3,0.1,546586.4267469504,764578125.9366349,3.9,0.000743495348914327,493076126.97158456,366872.5751173072,493442999.54670185,0.5729265334834,0.0764578125936635,1.561675504991287e-05,0.004642857142857143,0.08111628649157054
7.0,1.3,0.1,563908.7476626859,694299325.5667673,4.2,0.0008661641953677177,451067791.3233764,391037.4731862269,451458828.7965627,0.6169986084903808,0.06942993255667673,1.611167850464817e-05,0.005,0.07444604423518139
7.5,1.3,0.1,580959.0599431894,626612881.2764195,4.5,0.0010148196601247105,409194665.1046808,415680.63184390514,409610345.7365247,0.6610692201398706,0.06266128812764195,1.6598830284091127e-05,0.005357142857142857,0.0680350298150689
8.0,1.3,0.1,597472.540998692,562282783.7531328,4.8,0.0011948504497582837,368122311.4085144,440377.2943607527,368562688.70287514,0.7051406214395003,0.05622827837531328,1.707064402853406e-05,0.005714285714285714,0.061959634733627526
8.5,1.3,0.1,613212.8605884043,501898053.1729516,5.1,0.001412726041622324,328472849.12272614,464698.6397914957,328937547.76251763,0.7492116885612442,0.05018980531729515,1.752036744538298e-05,0.006071428571428571,0.0562787542561691
9.0,1.3,0.1,627979.2273467537,445876035.59973127,5.3999999999999995,0.001676156786880918,290793399.4689559,488233.6863069516,291281633.1552628,0.7932828137725734,0.04458760355997312,1.794226363847868e-05,0.006428571428571428,0.05103411725218303
9.5,1.3,0.1,641618.2275040996,394449928.600633,5.7,0.0019943659618010586,255521067.16054824,510620.8837780714,256031688.0443263,0.8373543917294346,0.039444992860063297,1.8331949357259988e-05,0.006785714285714286,0.04624903909513484
10.0,1.3,0.1,654015.8093853712,347717133.44024324,6.0,0.002378124195139008,222985143.80478048,531550.4586453412,223516694.26342583,0.8814268877481677,0.03477171334402432,1.8686165982439175e-05,0.0071428571428571435,0.041933256652863904
10.5,1.3,0.1,665109.0814892653,305619753.8732032,6.3,0.0028402271611872284,193375684.4012693,550795.2547925693,193926479.65606186,0.9254975330146294,0.03056197538732032,1.900311661397901e-05,0.0075,0.0380809785039343
11.0,1.3,0.1,674875.1004405399,267995789.79583663,6.6,0.0033956128777707295,166766184.80765662,568202.8014593931,167334387.60911602,0.9695682854157074,0.026799578979583658,1.928214572687257e-05,0.007857142857142858,0.03467600398245339
11.5,1.3,0.1,683324.2305201798,234607066.4348898,6.8999999999999995,0.004061568651431011,143127090.0939106,583691.2041930357,143710781.29810363,1.013640337032965,0.02346070664348898,1.952354944343371e-05,0.008214285714285714,0.031694515907218127
12.0,1.3,0.1,690499.2469178111,205149496.1754018,7.199999999999999,0.004858183493844343,122339603.30797502,597249.7905082181,122936853.09848323,1.057709443297338,0.02051494961754018,1.972854991193746e-05,0.008571428571428572,0.029106106738880692
0.0,1.4,0.1,406520.756341026,1412601383.2071235,0.0,0.0002473559298121047,816385237.6134119,201987.6923882028,816587225.3058001,0.0,0.14126013832071235,1.1614878752600743e-05,0.0,0.14127175319946494
0.5,1.4,0.1,407426.2403888668,1407903213.5805314,0.25,0.0002488688266131527,814973038.8086979,202871.8723745067,815175910.6810725,0.043201594128925803,0.1407903213580531,1.1640749725396196e-05,0.00029761904761904765,0.14109958115539756
1.0,1.4,0.1,410135.7850537933,1393908423.0221374,0.5,0.0002534467172202072,810730937.1146933,205529.18525787783,810936466.2999512,0.08640321787372127,0.13939084230221374,1.1718165287251237e-05,0.0005952380952380953,0.13999779856273908
1.5,1.4,0.1,414625.83488817065,1370896691.4044988,0.75,0.00026120951687916267,803639856.2483321,209973.2256002832,803849829.4739324,0.12960500648900267,0.13708966914044987,1.1846452425376303e-05,0.0008928571428571429,0.1379943727357324
2.0,1.4,0.1,420856.2146078314,1339327227.4600508,1.0,0.00027236068261642153,793672050.7356794,216223.95241522262,793888274.6880946,0.17280685209275926,0.13393272274600507,1.2024463274509469e-05,0.0011904761904761906,0.13513522339975576
2.5,1.4,0.1,428768.0708241008,1299823110.5591338,1.25,0.00028719312557099386,780796036.713274,224303.6726899665,781020340.3859639,0.21600842743582194,0.12998231105591337,1.2250516309260024e-05,0.001488095238095238,0.13148265681031787
3.0,1.4,0.1,438281.42679250217,1253151783.023457,1.5,0.0003060976317812226,764983709.1416326,234231.39939611327,765217940.5410286,0.2592102281213565,0.1253151783023457,1.2522326479785777e-05,0.0017857142857142859,0.12711341491453976
3.5,1.4,0.1,449293.1954646652,1200203487.079317,1.75,0.00032957380799300643,746220678.2648109,246015.8709262657,746466694.1357372,0.3024117761917445,0.12002034870793171,1.2836948441847576e-05,0.0020833333333333337,0.1221165189897069
4.0,1.4,0.1,461675.4192649817,1141963228.640638,2.0,0.0003582448741765047,724517409.9959931,259647.66582807645,724777057.6618212,0.34561329419976194,0.11419632286406381,1.3190726264713764e-05,0.002380952380952381,0.11659046597128091
4.5,1.4,0.1,475272.1678593858,1079489472.1858866,2.25,0.00039287203173165317,699923901.1672027,275088.5997261844,700198989.7669289,0.38881528208643473,0.10794894721858866,1.3579204795982452e-05,0.0026785714285714286,0.11064109785195608
5.0,1.4,0.1,489902.7392717197,1013874092.5000772,2.5,0.0004343799121219458,672541559.0002776,292265.4975580426,672833824.4978356,0.43201721342817884,0.10138740925000772,1.3997221122049136e-05,0.002976190476190476,0.10437759694732025
5.5,1.4,0.1,505361.40635086066,946218464.9645275,2.75,0.00048387956025966027,642536593.3240236,311060.84021094395,642847654.1642345,0.47521810514685214,0.09462184649645274,1.4438897324310306e-05,0.003273809523809524,0.09791009491758657
6.0,1.4,0.1,521420.1651650781,877607535.5891317,3.0,0.0005426928063898855,610153334.8342189,331305.62278753304,610484640.4570063,0.5184209121629956,0.08776075355891316,1.4897719004716518e-05,0.0035714285714285718,0.09134707984934645
6.5,1.4,0.1,537837.2353830544,809070525.6184102,3.25,0.0006123913096739138,575716448.6494818,352779.7892664461,576069228.4387482,0.5616231272820219,0.08090705256184101,1.5366778153801552e-05,0.003869047619047619,0.08479146695904244
7.0,1.4,0.1,554362.9002604507,741557887.2013535,3.5,0.0006948345816376141,539628776.4969404,375213.4464349476,540003989.9433753,0.6048234373075818,0.07415578872013535,1.583894000744145e-05,0.0041666666666666675,0.07833829432680946
7.5,1.4,0.1,570748.3512332768,675921640.1345555,3.75,0.000792202228264836,502367694.07326674,398292.3347281818,502765986.4079949,0.6480240794244672,0.06759216401345554,1.6307095749522194e-05,0.004464285714285714,0.07207275682349078
8.0,1.4,0.1,586757.0079696359,612884948.196258,4.0,0.0009070580642691948,464458888.7824466,421673.66308822134,464880562.4455348,0.6912267178812889,0.0612884948196258,1.6764485941989597e-05,0.004761904761904762,0.06606716406747255
8.5,1.4,0.1,602170.1431030958,553043080.2330643,4.25,0.001042377554924442,426460622.7671309,444996.8359453586,426905619.6030763,0.734426952177696,0.05530430802330643,1.7204861231517024e-05,0.00505952380952381,0.06038103669406176
9.0,1.4,0.1,616799.0298752725,496843126.30748266,4.5,0.0012016215207257671,388928322.0865039,467906.8888262152,389396228.9753301,0.7776311931077425,0.04968431263074826,1.7622829425007786e-05,0.005357142857142857,0.05505907831731613
9.5,1.4,0.1,630487.8917167363,444592123.71907085,4.75,0.001388786373226504,352386314.43712527,490069.91402030934,352876384.35114557,0.820832257746932,0.04445921237190708,1.801393976333532e-05,0.0056547619047619055,0.05013198821643232
10.0,1.4,0.1,643118.2003098598,396462202.8127881,5.0,0.001608461117373984,317301840.32425,511189.9017132646,317813030.22596323,0.8640324235927129,0.039646220281278816,1.8374805723138854e-05,0.005952380952380952,0.0456169760393829
10.5,1.4,0.1,654609.9410352533,352501888.2477618,5.25,0.0018659052795075308,284061284.68570846,531022.2880896378,284592306.9737981,0.9072340872445156,0.03525018882477618,1.870314117243581e-05,0.00625,0.041518891965948615
11.0,1.4,0.1,664917.0920621428,312661978.38766086,5.5,0.0021670626971171053,252962955.014949,549377.1182249633,253512332.13317394,0.9504375868113673,0.03126619783876609,1.8997631201775507e-05,0.006547619047619048,0.03783281451758691
11.5,1.4,0.1,674030.3230530266,276796277.32649696,5.75,0.0025187506197992017,224200401.72720468,566130.8432218793,224766532.57042655,0.993637604716403,0.027679627732649693,1.9258009230086477e-05,0.006845238095238096,0.03454412383711788
12.0,1.4,0.1,681964.0935768022,244704766.54666945,6.0,0.002928582666893834,197880682.99097717,581212.0659024807,198461895.05687964,1.036840055685997,0.024470476654666944,1.9484688387908635e-05,0.0071428571428571435,0.031632818485912
0.0,1.5,0.1,406520.756341026,1412601383.2071235,0.0,0.0002473559298121047,816385237.6134119,201987.6923882028,816587225.3058001,0.0,0.14126013832071235,1.1614878752600743e-05,0.0,0.14127175319946494
0.5,1.5,0.1,407366.7502308063,1408112180.0211315,0.25,0.00024886823495088645,814813795.287819,202831.74942638417,815016627.0372454,0.0433558193974528,0.14081121800211313,1.1639050006594467e-05,0.00029761904761904765,0.14112047609973877
1.0,1.5,0.1,409898.14050857216,1394739310.4188583,0.5,0.0002534442207330056,810101648.4531676,205367.63024574774,810307016.0834134,0.08671189689220045,0.13947393104188582,1.1711375443102062e-05,0.0005952380952380953,0.140080880512567
1.5,1.5,0.1,414092.4400640517,1372746813.9781895,0.75,0.0002612035239112667,802252421.3546406,209605.90932632712,802462027.2639669,0.1300674975396316,0.13727468139781893,1.1831212573258621e-05,0.0008928571428571429,0.13817936975324932
2.0,1.5,0.1,419911.7014197327,1342567849.8943052,1.0,0.0002723491293441657,791275456.6864631,215561.88979297024,791491018.576256,0.1734229647681417,0.1342567849894305,1.1997477183420935e-05,0.0011904761904761906,0.1354592586570901
2.5,1.5,0.1,427300.8373674828,1304789287.720701,1.25,0.0002871732328248788,777189190.5614263,223252.04438139533,777412442.6058077,0.2167788920523744,0.1304789287720701,1.2208595353356652e-05,0.001488095238095238,0.1319792326055187
3.0,1.5,0.1,436185.9664233667,1260134372.3360007,1.5,0.0003060646996220149,760028073.9337397,232688.9820362208,760260762.9157759,0.26013355552487255,0.12601343723360006,1.2462456183524763e-05,0.0017857142857142859,0.12781161397549787
3.5,1.5,0.1,446472.84133819904,1209438473.3305986,1.75,0.0003295210865009313,739847609.3442538,243875.75027843806,740091485.0945323,0.303490408187036,0.12094384733305985,1.2756366895377116e-05,0.0020833333333333337,0.12303993703328857
4.0,1.5,0.1,458046.06295789534,1153625830.0283234,2.0,0.0003581611523307373,716735571.195402,256798.8134547185,716992370.0088568,0.34684693047414306,0.11536258300283232,1.3087030370225581e-05,0.002380952380952381,0.11775662241415494
4.5,1.5,0.1,470767.06797478534,1093683598.2271173,2.25,0.00039274213330122495,690818383.5671132,271420.08378857985,691089803.6509018,0.3902017091367704,0.10936835982271172,1.345048765642244e-05,0.0026785714285714286,0.11206038173893958
5.0,1.5,0.1,484475.41353542847,1030633495.4214116,2.5,0.00043417922607639353,662272607.9771543,287669.90868143237,662560277.8858356,0.4335574681415635,0.10306334954214116,1.3842154672440816e-05,0.002976190476190476,0.10605338217300408
5.5,1.5,0.1,498990.15190941363,965503170.3271372,2.75,0.0004835695094655749,631331974.8135,305440.59512925445,631637415.4086293,0.4769140040740589,0.09655031703271372,1.4256861483126106e-05,0.003273809523809524,0.09983838341800637
6.0,1.5,0.1,514112.3982802188,899298938.9954214,3.0,0.000542220731385677,598291033.7502091,324581.79688083037,598615615.5470899,0.5202695718173718,0.08992989389954213,1.468892566514911e-05,0.0035714285714285718,0.09351601139663586
6.5,1.5,0.1,529630.05525344,832981450.9001153,3.25,0.0006116804500547437,563508561.9629762,344898.13823963614,563853460.1012158,0.5636243414946872,0.08329814509001152,1.513228729295543e-05,0.003869047619047619,0.08718232499635209
7.0,1.5,0.1,545324.7409359206,767435635.3486459,3.5,0.0006937783276747565,527399887.765951,366152.64091700484,527766040.406868,0.606981147940255,0.0767435635348646,1.5580706883883445e-05,0.0041666666666666675,0.08092581090841515
7.5,1.5,0.1,560975.3403114503,703463234.3921113,3.75,0.0007906506574964946,490432931.05585676,388067.9455735672,490820999.00143033,0.6503349595929598,0.07034632343921113,1.6027866866041437e-05,0.004464285714285714,0.07482663702036288
8.0,1.5,0.1,576370.2663999376,641748648.0727687,4.0,0.0009048070693934338,453102912.0499719,410341.9983265207,453513254.0482984,0.6936913654133261,0.06417486480727687,1.6467721897141074e-05,0.004761904761904762,0.06895323729107877
8.5,1.5,0.1,591312.4498508105,582856804.3909758,4.25,0.0010391682118716947,415917052.5489516,432657.38358389173,416349709.9325355,0.7370486553882107,0.058285680439097584,1.689464142430887e-05,0.00505952380952381,0.0633620988900457
9.0,1.5,0.1,605622.6124312273,527237403.78652424,4.5,0.0011970911334919891,379376037.2908158,454691.9982597482,379830729.2890755,0.7804034859539417,0.05272374037865242,1.730350321232078e-05,0.005357142857142857,0.0580981867390076
9.5,1.5,0.1,619153.6657454165,475195288.2904418,4.75,0.001382496231725469,343934412.6391174,476146.29989965365,344410558.93901706,0.8237606817011784,0.04751952882904418,1.769010473558333e-05,0.0056547619047619055,0.053191980838541666
10.0,1.5,0.1,631782.9741142011,426931757.1835809,5.0,0.0015998324229467445,309999566.8175634,496742.06215105444,310496308.8797145,0.8671167341665909,0.04269317571835808,1.8050942117548605e-05,0.005952380952380952,0.04866360761285658
10.5,1.5,0.1,643423.1437373998,382526083.985711,5.25,0.0018542290514970909,277899363.50006974,516246.312104011,278415609.8121737,0.9104698459943412,0.03825260839857109,1.8383518392497138e-05,0.00625,0.04452099191696359
11.0,1.5,0.1,654016.439175978,341965529.80356467,5.5,0.0021514931892152637,247884287.9168372,534471.2684604747,248418759.18529767,0.9538272827770605,0.03419655298035646,1.8686183976456516e-05,0.006547619047619048,0.04076285821195196
11.5,1.5,0.1,663533.0137628164,305159287.87723804,5.75,0.0024982000177197167,220119146.21075043,551278.8598215203,220670425.07057196,0.9971858245048235,0.0305159287877238,1.895808610750904e-05,0.006845238095238096,0.03738012496906941
12.0,1.5,0.1,671969.9645541206,271950567.8004142,6.0,0.0029017501260630205,194688922.0358532,566582.6854395098,195255504.7212927,1.0405406517160567,0.02719505678004142,1.9199141844403445e-05,0.0071428571428571435,0.03435711306474296
0.0,1.6,0.1,406520.756341026,1412601383.2071235,0.0,0.0002473559298121047,816385237.6134119,201987.6923882028,816587225.3058001,0.0,0.14126013832071235,1.1614878752600743e-05,0.0,0.14127175319946494
0.5,1.6,0.1,407311.886063211,1408406718.2024488,0.25,0.000248864061362319,814600500.7802626,202775.25248483216,814803276.0327474,0.04355534682086974,0.14084067182024487,1.1637482458948887e-05,0.00029761904761904765,0.14114992835032286
1.0,1.6,0.1,409678.895409207,1395909517.4101787,0.5,0.00025342694764131466,809260620.4834044,205140.4370102148,809465760.9204146,0.08711061474354855,0.13959095174101785,1.1705111297405915e-05,0.0005952380952380953,0.14019789494755336
1.5,1.6,0.1,413600.1535750101,1375350198.1864023,0.75,0.00026116246587730045,800405209.4561161,209090.404768297,800614299.8608844,0.1306660744694702,0.13753501981864022,1.181714724500029e-05,0.0008928571428571429,0.13843969410874235
2.0,1.6,0.1,419039.3313153535,1347123453.1767008,1.0,0.0002722703109340217,788101610.2531656,214635.10923916253,788316245.3624048,0.1742211066859244,0.13471234531767007,1.1972552323295816e-05,0.0011904761904761906,0.13591479406046955
2.5,1.6,0.1,425944.2931720446,1311763137.1113853,1.25,0.00028703729308620447,772446110.8559777,221784.50113792118,772667895.3571156,0.2177769603738142,0.13117631371113853,1.2169836947772703e-05,0.001488095238095238,0.13267657878618153
3.0,1.6,0.1,434245.8976178463,1269925417.3971238,1.5,0.0003058451764626683,753564410.8907821,230544.55116381115,753794955.4419459,0.26133236699575646,0.12699254173971236,1.2407025646224182e-05,0.0017857142857142859,0.12879066305107287
3.5,1.6,0.1,443857.4155497944,1222367370.71031,1.75,0.000329180277446272,731615587.8737595,240912.72591825968,731856500.5996778,0.30488772746499576,0.12223673707103098,1.268164044427984e-05,0.0020833333333333337,0.1243327520448086
4.0,1.6,0.1,454673.0036975701,1169926041.5283606,2.0,0.0003576460584943299,706792578.551382,252872.01857269186,707045450.5699546,0.34844317087400145,0.11699260415283605,1.2990657248502004e-05,0.002380952380952381,0.11938654719103693
4.5,1.6,0.1,466568.6810556083,1113491187.8794127,2.25,0.0003919779877146329,679327818.4261072,266385.96870120394,679594204.3948084,0.3919985043777249,0.11134911878794125,1.3330533744445952e-05,0.0026785714285714286,0.11404102075025713
5.0,1.6,0.1,479401.37166721706,1053983977.7446966,2.5,0.0004330621587760921,649491265.5594481,281391.94977462234,649772657.5092227,0.43555306752190437,0.10539839777446965,1.3697182047634774e-05,0.002976190476190476,0.10838828543270776
5.5,1.6,0.1,493011.3252023923,992330002.530732,2.75,0.00048195572915876874,617594953.8281243,297796.9512437877,617892750.779368,0.47910928047503304,0.0992330002530732,1.4086037862925494e-05,0.003273809523809524,0.10252089581474566
6.0,1.6,0.1,507225.1937394643,929433565.1597337,3.0,0.0005399146746971786,583989155.3281974,315474.64421561064,584304629.972413,0.5226648393804815,0.09294335651597337,1.4492148392556123e-05,0.0035714285714285718,0.09652927723579449
6.5,1.6,0.1,521857.1010945956,866164554.4100928,3.25,0.0006084143962606847,549062942.9070991,334261.1682247964,549397204.0753239,0.5662202495328179,0.08661645544100928,1.4910202888417017e-05,0.003869047619047619,0.09050041326294532
7.0,1.6,0.1,536715.8630938458,803328903.7674536,3.5,0.0006891871506370271,513234510.9494511,353958.57391083747,513588469.5233619,0.609775558918049,0.08033289037674535,1.5334738945538452e-05,0.0041666666666666675,0.08451489178235755
7.5,1.6,0.1,551610.315805711,741652287.7518938,3.75,0.00078425897305865,476941422.75518906,374339.16927158454,477315761.92446065,0.6533312083280963,0.07416522877518937,1.576029473730603e-05,0.004464285714285714,0.07864527478421239
8.0,1.6,0.1,566353.1265970939,681772623.4612042,4.0,0.0008959848477647658,440627724.6588206,395149.81304445345,441022874.47186506,0.6968848688895584,0.06817726234612041,1.6181517902774113e-05,0.004761904761904762,0.07295534862592795
8.5,1.6,0.1,580767.8651200498,624225904.6480051,4.25,0.0010270882488025495,404731641.39361,416122.5073312866,405147763.9009413,0.7404412492915093,0.06242259046480051,1.6593367574858567e-05,0.00505952380952381,0.06749870764189918
9.0,1.6,0.1,594692.5474007311,569447721.6669544,4.5,0.0011806992298337526,369668285.7455452,436983.00577209436,370105268.7513173,0.7839970804973007,0.05694477216669543,1.699121564002089e-05,0.005357142857142857,0.06231890623947831
9.5,1.6,0.1,607987.4072826136,517759639.09996706,4.75,0.0013604238237405924,335810516.4966528,457466.9758772376,336267983.47253,0.8275501360278876,0.051775963909996704,1.7371068779503245e-05,0.0056547619047619055,0.057448096883538115
10.0,1.6,0.1,620535.5677448735,469382166.5594617,5.0,0.001570375312794494,303480269.17099637,477327.50595783466,303957596.6769542,0.871106084618131,0.04693821665594617,1.7729587649853528e-05,0.005952380952380952,0.052908327195976976
10.5,1.6,0.1,632244.1407979585,424442780.8423672,5.25,0.0018152199853343127,272938191.7121532,496343.83360326267,273434535.54575646,0.9146612813383505,0.04244427808423672,1.80641183085131e-05,0.00625,0.04871234220254523
11.0,1.6,0.1,643047.2497620009,382978938.5466583,5.5,0.002100257670848332,244375715.46608225,514332.20112747094,244890047.6672097,0.9582176996125618,0.038297893854665824,1.8372778564628596e-05,0.006547619047619048,0.0448638856808495
11.5,1.6,0.1,652902.5119170997,344957033.0572558,5.75,0.0024314380010070414,217918281.8794791,531146.2408299757,218449428.12030908,1.0017729367049502,0.03449570330572558,1.865435748334571e-05,0.006845238095238096,0.041359595758447026
12.0,1.6,0.1,661790.8321983134,310280887.36291873,6.0,0.0028154631463510244,193624336.85441574,546681.3458322523,194171018.200248,1.0453278872557483,0.031028088736291874,1.8908309491380385e-05,0.0071428571428571435,0.0381898541886404
0.0,1.7000000000000002,0.1,406520.756341026,1412601383.2071235,0.0,0.0002473559298121047,816385237.6134119,201987.6923882028,816587225.3058001,0.0,0.14126013832071235,1.1614878752600743e-05,0.0,0.14127175319946494
